[12:13:25] === Stage 2 von ckpt_9000000 | 20M Steps | lr=1e-5 | 512x512 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step= 8702784 | eps/s=  3591 | success= 64.7% | miss= 29.1% | elapsed=2423.4s
  step= 8802816 | eps/s=  3593 | success=  0.8% | miss= 95.5% | elapsed=2450.2s
  step= 8902848 | eps/s=  3593 | success=  8.8% | miss= 58.7% | elapsed=2477.7s
  step= 9002880 | eps/s=  3594 | success=  0.0% | miss= 94.1% | elapsed=2504.7s
  step= 9102912 | eps/s=  3595 | success=  0.0% | miss= 95.5% | elapsed=2532.2s
  step= 9202944 | eps/s=  3596 | success=  0.0% | miss=100.0% | elapsed=2559.2s
  step= 9302976 | eps/s=  3598 | success=  0.0% | miss=100.0% | elapsed=2585.7s
  step= 9403008 | eps/s=  3599 | success=  0.0% | miss= 95.3% | elapsed=2612.4s
  step= 9503040 | eps/s=  3594 | success=  0.1% | miss= 75.2% | elapsed=2643.9s
  step= 9603072 | eps/s=  3593 | success=  0.1% | miss= 77.9% | elapsed=2673.0s
  step= 9703104 | eps/s=  3592 | success=  1.2% | miss= 56.9% | elapsed=2701.6s
  step= 9803136 | eps/s=  3590 | success= 13.3% | miss= 14.9% | elapsed=2730.3s
  step= 9903168 | eps/s=  3589 | success= 48.8% | miss= 17.3% | elapsed=2759.3s
  step=10003200 | eps/s=  3586 | success= 62.7% | miss= 10.4% | elapsed=2789.3s
  step=10103232 | eps/s=  3582 | success= 58.1% | miss= 19.7% | elapsed=2820.7s
  step=10203264 | eps/s=  3579 | success= 60.7% | miss= 16.9% | elapsed=2850.6s
  step=10303296 | eps/s=  3578 | success= 53.9% | miss= 28.0% | elapsed=2880.0s
  step=10403328 | eps/s=  3576 | success= 59.3% | miss= 19.4% | elapsed=2909.0s
  step=10503360 | eps/s=  3571 | success= 69.9% | miss= 10.4% | elapsed=2941.0s
  step=10603392 | eps/s=  3571 | success= 73.3% | miss=  9.7% | elapsed=2969.6s
  step=10703424 | eps/s=  3570 | success= 65.5% | miss=  7.6% | elapsed=2998.4s
  step=10803456 | eps/s=  3569 | success= 71.3% | miss=  8.0% | elapsed=3027.0s
  step=10903488 | eps/s=  3567 | success= 37.6% | miss= 52.6% | elapsed=3056.8s
  step=11003520 | eps/s=  3560 | success= 66.5% | miss= 14.4% | elapsed=3090.7s
  step=11103552 | eps/s=  3552 | success= 60.3% | miss= 10.0% | elapsed=3126.3s
  step=11203584 | eps/s=  3545 | success= 59.4% | miss= 27.9% | elapsed=3160.5s
  step=11303616 | eps/s=  3536 | success= 65.2% | miss= 18.3% | elapsed=3196.5s
  step=11403648 | eps/s=  3526 | success= 70.9% | miss=  8.8% | elapsed=3234.2s
  step=11503680 | eps/s=  3521 | success= 68.6% | miss= 11.9% | elapsed=3267.2s
  step=11603712 | eps/s=  3519 | success=  0.0% | miss=100.0% | elapsed=3297.6s
  step=11703744 | eps/s=  3518 | success=  0.0% | miss=100.0% | elapsed=3326.6s
  step=11803776 | eps/s=  3517 | success=  7.8% | miss= 69.3% | elapsed=3356.3s
  step=11903808 | eps/s=  3513 | success= 44.8% | miss= 31.4% | elapsed=3388.2s
  step=12003840 | eps/s=  3508 | success= 66.5% | miss= 17.5% | elapsed=3422.1s
  step=12103872 | eps/s=  3505 | success= 76.1% | miss=  5.7% | elapsed=3453.4s
  step=12203904 | eps/s=  3503 | success= 73.7% | miss= 13.8% | elapsed=3483.7s
  step=12303936 | eps/s=  3501 | success= 67.9% | miss= 19.6% | elapsed=3514.5s
  step=12403968 | eps/s=  3498 | success= 25.7% | miss= 48.4% | elapsed=3546.2s
  step=12504000 | eps/s=  3495 | success= 17.9% | miss= 46.7% | elapsed=3577.4s
  step=12604032 | eps/s=  3496 | success= 32.9% | miss= 50.5% | elapsed=3605.5s
  step=12704064 | eps/s=  3495 | success= 34.0% | miss= 56.1% | elapsed=3635.3s
  step=12804096 | eps/s=  3495 | success= 17.7% | miss= 76.6% | elapsed=3663.8s
  step=12904128 | eps/s=  3495 | success=  4.5% | miss= 78.0% | elapsed=3692.3s
  step=13004160 | eps/s=  3492 | success= 51.2% | miss= 10.4% | elapsed=3723.9s
  step=13104192 | eps/s=  3492 | success= 71.7% | miss= 14.4% | elapsed=3752.1s
  step=13204224 | eps/s=  3493 | success= 59.3% | miss= 28.8% | elapsed=3780.1s
  step=13304256 | eps/s=  3489 | success= 70.4% | miss=  9.6% | elapsed=3813.1s
  step=13404288 | eps/s=  3491 | success=  0.0% | miss=100.0% | elapsed=3839.1s
  step=13504320 | eps/s=  3493 | success=  0.0% | miss=100.0% | elapsed=3866.0s
  step=13604352 | eps/s=  3494 | success=  0.0% | miss= 49.5% | elapsed=3893.9s
  step=13704384 | eps/s=  3494 | success=  0.0% | miss=  5.7% | elapsed=3922.6s
  step=13804416 | eps/s=  3493 | success=  0.0% | miss=  5.3% | elapsed=3951.7s
  step=13904448 | eps/s=  3493 | success=  0.1% | miss= 11.8% | elapsed=3980.9s
  step=14004480 | eps/s=  3493 | success=  0.3% | miss= 25.3% | elapsed=4009.6s
  step=14104512 | eps/s=  3493 | success=  0.3% | miss= 25.8% | elapsed=4038.0s
  step=14204544 | eps/s=  3493 | success=  0.8% | miss=  5.8% | elapsed=4067.1s
  step=14304576 | eps/s=  3490 | success=  0.7% | miss= 57.1% | elapsed=4098.2s
  step=14404608 | eps/s=  3491 | success=  0.0% | miss= 52.2% | elapsed=4125.9s
  step=14504640 | eps/s=  3492 | success=  0.6% | miss= 83.2% | elapsed=4153.4s
  step=14604672 | eps/s=  3494 | success=  0.4% | miss= 98.4% | elapsed=4180.5s
  step=14704704 | eps/s=  3495 | success=  0.0% | miss=100.0% | elapsed=4207.7s
  step=14804736 | eps/s=  3496 | success=  0.0% | miss= 98.4% | elapsed=4234.9s
  step=14904768 | eps/s=  3496 | success=  0.0% | miss= 99.0% | elapsed=4262.8s
  step=15004800 | eps/s=  3497 | success=  0.0% | miss=100.0% | elapsed=4291.3s
