nohup: ignoring input
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step= 9202944 | eps/s=  2817 | success=  4.6% | miss= 39.5% | elapsed=3266.8s
  step= 9302976 | eps/s=  2819 | success=  4.8% | miss= 38.5% | elapsed=3300.4s
  step= 9403008 | eps/s=  2819 | success=  5.0% | miss= 37.7% | elapsed=3335.1s
  step= 9503040 | eps/s=  2818 | success=  5.2% | miss= 41.6% | elapsed=3372.4s
  step= 9603072 | eps/s=  2817 | success=  5.3% | miss= 39.9% | elapsed=3409.4s
  step= 9703104 | eps/s=  2815 | success=  5.4% | miss= 39.0% | elapsed=3446.9s
  step= 9803136 | eps/s=  2816 | success=  5.6% | miss= 38.1% | elapsed=3481.3s
  step= 9903168 | eps/s=  2816 | success=  5.6% | miss= 35.9% | elapsed=3517.1s
  step=10003200 | eps/s=  2815 | success=  6.1% | miss= 36.2% | elapsed=3552.9s
  step=10103232 | eps/s=  2815 | success=  6.1% | miss= 34.2% | elapsed=3589.3s
  step=10203264 | eps/s=  2815 | success=  6.2% | miss= 33.2% | elapsed=3625.1s
  step=10303296 | eps/s=  2810 | success=  6.4% | miss= 32.0% | elapsed=3666.2s
  step=10403328 | eps/s=  2810 | success=  6.7% | miss= 33.0% | elapsed=3702.1s
  step=10503360 | eps/s=  2803 | success=  6.7% | miss= 33.9% | elapsed=3747.7s
  step=10603392 | eps/s=  2802 | success=  6.9% | miss= 32.4% | elapsed=3783.6s
  step=10703424 | eps/s=  2800 | success=  7.3% | miss= 30.5% | elapsed=3822.8s
  step=10803456 | eps/s=  2796 | success=  7.6% | miss= 30.2% | elapsed=3863.6s
  step=10903488 | eps/s=  2797 | success=  7.6% | miss= 30.0% | elapsed=3898.9s
  step=11003520 | eps/s=  2796 | success=  7.7% | miss= 27.8% | elapsed=3935.6s
  step=11103552 | eps/s=  2794 | success=  7.7% | miss= 26.9% | elapsed=3973.7s
  step=11203584 | eps/s=  2793 | success=  7.9% | miss= 26.3% | elapsed=4011.1s
  step=11303616 | eps/s=  2792 | success=  8.2% | miss= 25.7% | elapsed=4049.0s
  step=11403648 | eps/s=  2787 | success=  9.0% | miss= 27.0% | elapsed=4091.0s
  step=11503680 | eps/s=  2787 | success=  9.3% | miss= 26.4% | elapsed=4127.8s
  step=11603712 | eps/s=  2786 | success=  9.4% | miss= 26.9% | elapsed=4165.4s
  step=11703744 | eps/s=  2786 | success=  9.3% | miss= 27.5% | elapsed=4201.2s
  step=11803776 | eps/s=  2786 | success=  9.2% | miss= 25.5% | elapsed=4236.4s
  step=11903808 | eps/s=  2787 | success=  9.7% | miss= 23.5% | elapsed=4271.7s
  step=12003840 | eps/s=  2786 | success=  9.9% | miss= 23.2% | elapsed=4307.9s
  step=12103872 | eps/s=  2786 | success= 10.2% | miss= 21.8% | elapsed=4344.5s
  step=12203904 | eps/s=  2786 | success= 10.5% | miss= 21.3% | elapsed=4380.0s
  step=12303936 | eps/s=  2786 | success= 10.7% | miss= 21.4% | elapsed=4415.6s
  step=12403968 | eps/s=  2784 | success= 11.5% | miss= 22.3% | elapsed=4455.0s
  step=12504000 | eps/s=  2786 | success= 11.3% | miss= 22.5% | elapsed=4488.5s
  step=12604032 | eps/s=  2783 | success= 11.4% | miss= 20.6% | elapsed=4528.4s
  step=12704064 | eps/s=  2783 | success= 11.6% | miss= 19.8% | elapsed=4564.4s
