[15:04:11] === Stage 2 | flache Bahn Reward | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step=11403648 | eps/s=  7314 | success= 24.4% | miss= 60.2% | elapsed=1559.1s
  step=11503680 | eps/s=  7312 | success= 27.5% | miss= 58.3% | elapsed=1573.2s
  step=11603712 | eps/s=  7316 | success= 27.3% | miss= 58.4% | elapsed=1586.1s
  step=11703744 | eps/s=  7319 | success= 25.7% | miss= 59.0% | elapsed=1599.0s
  step=11803776 | eps/s=  7322 | success= 27.9% | miss= 58.7% | elapsed=1612.2s
  step=11903808 | eps/s=  7324 | success= 27.6% | miss= 58.2% | elapsed=1625.4s
  step=12003840 | eps/s=  7325 | success= 27.9% | miss= 58.2% | elapsed=1638.7s
  step=12103872 | eps/s=  7326 | success= 28.0% | miss= 58.0% | elapsed=1652.2s
  step=12203904 | eps/s=  7329 | success= 28.5% | miss= 58.2% | elapsed=1665.1s
  step=12303936 | eps/s=  7334 | success= 27.0% | miss= 57.8% | elapsed=1677.7s
  step=12403968 | eps/s=  7337 | success= 28.2% | miss= 58.2% | elapsed=1690.6s
  step=12504000 | eps/s=  7341 | success= 27.5% | miss= 58.1% | elapsed=1703.4s
  step=12604032 | eps/s=  7345 | success= 28.3% | miss= 58.0% | elapsed=1716.0s
  step=12704064 | eps/s=  7349 | success= 28.2% | miss= 58.4% | elapsed=1728.7s
  step=12804096 | eps/s=  7352 | success= 27.5% | miss= 58.0% | elapsed=1741.5s
  step=12904128 | eps/s=  7356 | success= 28.2% | miss= 57.7% | elapsed=1754.2s
  step=13004160 | eps/s=  7359 | success= 28.1% | miss= 57.9% | elapsed=1767.0s
  step=13104192 | eps/s=  7363 | success= 28.9% | miss= 57.7% | elapsed=1779.8s
  step=13204224 | eps/s=  7366 | success= 28.8% | miss= 57.2% | elapsed=1792.6s
  step=13304256 | eps/s=  7369 | success= 28.2% | miss= 57.6% | elapsed=1805.5s
  step=13404288 | eps/s=  7372 | success= 29.2% | miss= 57.2% | elapsed=1818.3s
  step=13504320 | eps/s=  7375 | success= 28.2% | miss= 57.0% | elapsed=1831.0s
  step=13604352 | eps/s=  7379 | success= 29.2% | miss= 57.1% | elapsed=1843.7s
  step=13704384 | eps/s=  7382 | success= 29.7% | miss= 56.1% | elapsed=1856.4s
  step=13804416 | eps/s=  7386 | success= 30.5% | miss= 55.3% | elapsed=1869.1s
  step=13904448 | eps/s=  7389 | success= 29.3% | miss= 54.9% | elapsed=1881.9s
  step=14004480 | eps/s=  7391 | success= 25.7% | miss= 55.6% | elapsed=1894.8s
  step=14104512 | eps/s=  7395 | success= 27.4% | miss= 55.6% | elapsed=1907.4s
  step=14204544 | eps/s=  7398 | success= 27.2% | miss= 55.4% | elapsed=1920.2s
  step=14304576 | eps/s=  7400 | success= 27.1% | miss= 55.6% | elapsed=1933.2s
  step=14404608 | eps/s=  7403 | success= 29.6% | miss= 56.0% | elapsed=1945.8s
  step=14504640 | eps/s=  7406 | success= 30.4% | miss= 55.3% | elapsed=1958.5s
  step=14604672 | eps/s=  7409 | success= 30.1% | miss= 54.9% | elapsed=1971.2s
  step=14704704 | eps/s=  7412 | success= 30.8% | miss= 54.3% | elapsed=1983.9s
  step=14804736 | eps/s=  7415 | success= 30.8% | miss= 54.3% | elapsed=1996.7s
  step=14904768 | eps/s=  7417 | success= 31.7% | miss= 54.0% | elapsed=2009.5s
  step=15004800 | eps/s=  7420 | success= 30.6% | miss= 54.8% | elapsed=2022.2s
  step=15104832 | eps/s=  7423 | success= 31.8% | miss= 54.6% | elapsed=2034.9s
  step=15204864 | eps/s=  7425 | success= 31.8% | miss= 53.7% | elapsed=2047.9s
  step=15304896 | eps/s=  7427 | success= 31.8% | miss= 53.4% | elapsed=2060.6s
  step=15404928 | eps/s=  7430 | success= 31.9% | miss= 54.0% | elapsed=2073.3s
  step=15504960 | eps/s=  7433 | success= 32.4% | miss= 53.9% | elapsed=2086.0s
  step=15604992 | eps/s=  7435 | success= 32.2% | miss= 54.2% | elapsed=2098.8s
  step=15705024 | eps/s=  7438 | success= 32.4% | miss= 53.5% | elapsed=2111.6s
  step=15805056 | eps/s=  7440 | success= 31.9% | miss= 54.1% | elapsed=2124.3s
  step=15905088 | eps/s=  7443 | success= 31.2% | miss= 54.8% | elapsed=2137.0s
  step=16005120 | eps/s=  7445 | success= 31.2% | miss= 53.1% | elapsed=2149.8s
  step=16105152 | eps/s=  7448 | success= 29.3% | miss= 57.9% | elapsed=2162.4s
  step=16205184 | eps/s=  7449 | success= 29.9% | miss= 55.9% | elapsed=2175.4s
  step=16305216 | eps/s=  7451 | success= 32.9% | miss= 53.4% | elapsed=2188.2s
  step=16405248 | eps/s=  7453 | success= 32.6% | miss= 53.3% | elapsed=2201.3s
  step=16505280 | eps/s=  7454 | success= 30.8% | miss= 53.3% | elapsed=2214.2s
  step=16605312 | eps/s=  7457 | success= 28.1% | miss= 53.4% | elapsed=2226.9s
  step=16705344 | eps/s=  7459 | success= 32.3% | miss= 53.2% | elapsed=2239.6s
  step=16805376 | eps/s=  7461 | success= 31.0% | miss= 53.0% | elapsed=2252.4s
  step=16905408 | eps/s=  7463 | success= 33.5% | miss= 53.0% | elapsed=2265.2s
  step=17005440 | eps/s=  7465 | success= 32.8% | miss= 52.9% | elapsed=2278.1s
  step=17105472 | eps/s=  7466 | success= 33.8% | miss= 52.5% | elapsed=2291.2s
  step=17205504 | eps/s=  7468 | success= 33.7% | miss= 52.9% | elapsed=2303.8s
  step=17305536 | eps/s=  7470 | success= 33.6% | miss= 52.9% | elapsed=2316.5s
  step=17405568 | eps/s=  7472 | success= 32.6% | miss= 52.7% | elapsed=2329.3s
  step=17505600 | eps/s=  7475 | success= 30.8% | miss= 52.8% | elapsed=2341.9s
  step=17605632 | eps/s=  7476 | success= 31.2% | miss= 52.6% | elapsed=2354.9s
  step=17705664 | eps/s=  7479 | success= 33.6% | miss= 52.6% | elapsed=2367.4s
  step=17805696 | eps/s=  7481 | success= 28.1% | miss= 58.6% | elapsed=2380.0s
  step=17905728 | eps/s=  7484 | success= 26.5% | miss= 62.8% | elapsed=2392.5s
  step=18005760 | eps/s=  7487 | success= 27.7% | miss= 58.6% | elapsed=2405.1s
  step=18105792 | eps/s=  7488 | success= 31.5% | miss= 56.4% | elapsed=2417.9s
  step=18205824 | eps/s=  7491 | success= 33.7% | miss= 53.7% | elapsed=2430.5s
  step=18305856 | eps/s=  7493 | success= 33.0% | miss= 53.0% | elapsed=2443.2s
  step=18405888 | eps/s=  7494 | success= 34.5% | miss= 51.7% | elapsed=2456.0s
  step=18505920 | eps/s=  7496 | success= 31.8% | miss= 52.4% | elapsed=2468.8s
  step=18605952 | eps/s=  7498 | success= 33.5% | miss= 53.1% | elapsed=2481.5s
  step=18705984 | eps/s=  7500 | success= 31.7% | miss= 53.6% | elapsed=2494.2s
  step=18806016 | eps/s=  7502 | success= 32.7% | miss= 54.8% | elapsed=2506.8s
  step=18906048 | eps/s=  7504 | success= 31.5% | miss= 54.6% | elapsed=2519.4s
  step=19006080 | eps/s=  7506 | success= 32.7% | miss= 54.4% | elapsed=2532.1s
  step=19106112 | eps/s=  7508 | success= 33.2% | miss= 53.9% | elapsed=2544.8s
  step=19206144 | eps/s=  7510 | success= 33.0% | miss= 54.2% | elapsed=2557.5s
  step=19306176 | eps/s=  7511 | success= 33.3% | miss= 53.8% | elapsed=2570.2s
  step=19406208 | eps/s=  7513 | success= 33.1% | miss= 54.1% | elapsed=2582.9s
  step=19506240 | eps/s=  7515 | success= 33.9% | miss= 53.5% | elapsed=2595.6s
  step=19606272 | eps/s=  7516 | success= 33.3% | miss= 53.8% | elapsed=2608.5s
  step=19706304 | eps/s=  7517 | success= 34.0% | miss= 53.5% | elapsed=2621.4s
  step=19806336 | eps/s=  7519 | success= 33.0% | miss= 53.8% | elapsed=2634.1s
  step=19906368 | eps/s=  7521 | success= 33.7% | miss= 53.7% | elapsed=2646.7s

  Training complete in 2659.4s
  Avg throughput: 7520 timesteps/sec
  Model saved to models/ppo_stage2

=== Evaluation (100 episodes) ===
  success: 82%
  paddle_miss: 17%
  return_missed_table: 1%
  avg reward: 1.011
[15:48:40] === Stage 3 | lr=5e-6 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=3
  total_timesteps=30000000
  policy=MLP [512, 512]

  lr=5e-06
  Loading pretrained model: models/ppo_stage2
  model params: 622,607

  step=  100032 | eps/s=  4834 | success= 24.0% | miss= 66.0% | elapsed= 20.7s
  step=  200064 | eps/s=  4719 | success= 25.7% | miss= 63.5% | elapsed= 42.4s
  step=  300096 | eps/s=  4684 | success= 26.8% | miss= 62.2% | elapsed= 64.1s
  step=  400128 | eps/s=  4665 | success= 27.7% | miss= 61.2% | elapsed= 85.8s
  step=  500160 | eps/s=  4655 | success= 28.2% | miss= 60.5% | elapsed=107.5s
  step=  600192 | eps/s=  4650 | success= 28.1% | miss= 60.5% | elapsed=129.1s
  step=  700224 | eps/s=  4648 | success= 28.3% | miss= 60.4% | elapsed=150.6s
  step=  800256 | eps/s=  4646 | success= 28.5% | miss= 59.9% | elapsed=172.2s
  step=  900288 | eps/s=  4640 | success= 28.9% | miss= 59.6% | elapsed=194.0s
  step= 1000320 | eps/s=  4612 | success= 29.1% | miss= 59.5% | elapsed=216.9s
  step= 1100352 | eps/s=  4612 | success= 29.0% | miss= 59.8% | elapsed=238.6s
  step= 1200384 | eps/s=  4607 | success= 29.4% | miss= 59.1% | elapsed=260.5s
  step= 1300416 | eps/s=  4607 | success= 29.3% | miss= 59.0% | elapsed=282.3s
  step= 1400448 | eps/s=  4605 | success= 29.4% | miss= 59.1% | elapsed=304.1s
  step= 1500480 | eps/s=  4606 | success= 29.6% | miss= 58.9% | elapsed=325.8s
  step= 1600512 | eps/s=  4607 | success= 29.7% | miss= 58.8% | elapsed=347.4s
  step= 1700544 | eps/s=  4609 | success= 29.5% | miss= 58.8% | elapsed=368.9s
  step= 1800576 | eps/s=  4609 | success= 29.7% | miss= 58.8% | elapsed=390.7s
  step= 1900608 | eps/s=  4593 | success= 29.6% | miss= 58.9% | elapsed=413.8s
  step= 2000640 | eps/s=  4590 | success= 29.7% | miss= 58.9% | elapsed=435.9s
  step= 2100672 | eps/s=  4588 | success= 29.9% | miss= 58.7% | elapsed=457.9s
  step= 2200704 | eps/s=  4587 | success= 30.1% | miss= 58.6% | elapsed=479.7s
  step= 2300736 | eps/s=  4586 | success= 30.4% | miss= 58.3% | elapsed=501.6s
  step= 2400768 | eps/s=  4587 | success= 30.1% | miss= 58.4% | elapsed=523.4s
  step= 2500800 | eps/s=  4585 | success= 29.9% | miss= 58.5% | elapsed=545.4s
  step= 2600832 | eps/s=  4584 | success= 30.6% | miss= 58.3% | elapsed=567.3s
  step= 2700864 | eps/s=  4585 | success= 30.6% | miss= 58.0% | elapsed=589.1s
  step= 2800896 | eps/s=  4585 | success= 30.4% | miss= 58.3% | elapsed=610.9s
  step= 2900928 | eps/s=  4575 | success= 30.0% | miss= 58.1% | elapsed=634.0s
  step= 3000960 | eps/s=  4575 | success= 30.2% | miss= 58.0% | elapsed=655.9s
  step= 3100992 | eps/s=  4575 | success= 30.2% | miss= 58.0% | elapsed=677.8s
  step= 3201024 | eps/s=  4573 | success= 30.4% | miss= 58.1% | elapsed=700.0s
  step= 3301056 | eps/s=  4572 | success= 30.2% | miss= 58.0% | elapsed=722.0s
  step= 3401088 | eps/s=  4572 | success= 30.2% | miss= 58.0% | elapsed=744.0s
  step= 3501120 | eps/s=  4571 | success= 30.6% | miss= 57.8% | elapsed=766.0s
  step= 3601152 | eps/s=  4571 | success= 30.9% | miss= 57.9% | elapsed=787.8s
  step= 3701184 | eps/s=  4571 | success= 30.8% | miss= 58.0% | elapsed=809.7s
  step= 3801216 | eps/s=  4563 | success= 30.9% | miss= 57.6% | elapsed=833.1s
  step= 3901248 | eps/s=  4563 | success= 30.8% | miss= 57.9% | elapsed=855.0s
  step= 4001280 | eps/s=  4563 | success= 30.7% | miss= 57.8% | elapsed=876.9s
  step= 4101312 | eps/s=  4565 | success= 30.6% | miss= 57.6% | elapsed=898.5s
  step= 4201344 | eps/s=  4565 | success= 30.9% | miss= 57.5% | elapsed=920.4s
  step= 4301376 | eps/s=  4565 | success= 30.9% | miss= 57.5% | elapsed=942.3s
