[17:49:55] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[17:49:57] 
[17:49:57] === Stage 1: Kein Spin | 20M Steps | lr=3e-4→1e-5 (decay) | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step= 7602432 | eps/s=  4252 | success=  5.4% | miss= 79.9% | elapsed=1788.1s
  step= 7702464 | eps/s=  4252 | success=  5.6% | miss= 79.6% | elapsed=1811.7s
  step= 7802496 | eps/s=  4252 | success=  5.8% | miss= 78.3% | elapsed=1835.1s
  step= 7902528 | eps/s=  4249 | success=  6.0% | miss= 77.6% | elapsed=1859.7s
  step= 8002560 | eps/s=  4247 | success=  6.0% | miss= 77.5% | elapsed=1884.2s
  step= 8102592 | eps/s=  4247 | success=  6.2% | miss= 76.9% | elapsed=1907.6s
  step= 8202624 | eps/s=  4247 | success=  7.2% | miss= 76.2% | elapsed=1931.5s
  step= 8302656 | eps/s=  4247 | success=  7.4% | miss= 76.0% | elapsed=1954.9s
  step= 8402688 | eps/s=  4246 | success=  7.7% | miss= 75.6% | elapsed=1979.2s
  step= 8502720 | eps/s=  4229 | success=  8.6% | miss= 75.5% | elapsed=2010.6s
  step= 8602752 | eps/s=  4218 | success=  9.0% | miss= 74.9% | elapsed=2039.4s
  step= 8702784 | eps/s=  4217 | success=  9.2% | miss= 73.7% | elapsed=2063.6s
  step= 8802816 | eps/s=  4216 | success= 10.2% | miss= 73.4% | elapsed=2087.9s
  step= 8902848 | eps/s=  4215 | success= 10.6% | miss= 73.0% | elapsed=2112.2s
  step= 9002880 | eps/s=  4214 | success= 11.0% | miss= 72.2% | elapsed=2136.4s
  step= 9102912 | eps/s=  4214 | success= 11.6% | miss= 71.5% | elapsed=2160.1s
  step= 9202944 | eps/s=  4204 | success= 11.2% | miss= 71.4% | elapsed=2188.9s
  step= 9302976 | eps/s=  4203 | success= 11.0% | miss= 71.1% | elapsed=2213.6s
  step= 9403008 | eps/s=  4201 | success= 11.8% | miss= 70.6% | elapsed=2238.0s
  step= 9503040 | eps/s=  4195 | success= 13.0% | miss= 69.6% | elapsed=2265.2s
  step= 9603072 | eps/s=  4194 | success= 14.4% | miss= 68.9% | elapsed=2289.9s
  step= 9703104 | eps/s=  4193 | success= 15.3% | miss= 68.0% | elapsed=2314.1s
  step= 9803136 | eps/s=  4192 | success= 16.2% | miss= 67.8% | elapsed=2338.4s
  step= 9903168 | eps/s=  4191 | success= 16.7% | miss= 67.3% | elapsed=2362.8s
  step=10003200 | eps/s=  4190 | success= 17.0% | miss= 66.4% | elapsed=2387.2s
  step=10103232 | eps/s=  4190 | success= 18.3% | miss= 66.2% | elapsed=2411.2s
  step=10203264 | eps/s=  4190 | success= 18.7% | miss= 65.6% | elapsed=2435.0s
  step=10303296 | eps/s=  4191 | success= 20.0% | miss= 64.5% | elapsed=2458.5s
  step=10403328 | eps/s=  4190 | success= 20.4% | miss= 63.9% | elapsed=2482.7s
  step=10503360 | eps/s=  4186 | success= 20.3% | miss= 63.0% | elapsed=2508.9s
  step=10603392 | eps/s=  4187 | success= 20.9% | miss= 62.6% | elapsed=2532.7s
  step=10703424 | eps/s=  4186 | success= 22.4% | miss= 62.6% | elapsed=2556.8s
  step=10803456 | eps/s=  4186 | success= 23.0% | miss= 61.6% | elapsed=2580.7s
  step=10903488 | eps/s=  4186 | success= 23.2% | miss= 62.0% | elapsed=2604.5s
  step=11003520 | eps/s=  4187 | success= 24.6% | miss= 61.3% | elapsed=2628.2s
  step=11103552 | eps/s=  4187 | success= 25.3% | miss= 60.8% | elapsed=2652.1s
  step=11203584 | eps/s=  4187 | success= 25.5% | miss= 59.4% | elapsed=2675.8s
  step=11303616 | eps/s=  4187 | success= 26.5% | miss= 59.2% | elapsed=2699.7s
  step=11403648 | eps/s=  4183 | success= 26.9% | miss= 58.7% | elapsed=2726.2s
  step=11503680 | eps/s=  4183 | success= 28.0% | miss= 57.6% | elapsed=2750.0s
  step=11603712 | eps/s=  4183 | success= 28.3% | miss= 57.0% | elapsed=2773.9s
  step=11703744 | eps/s=  4182 | success= 29.0% | miss= 56.2% | elapsed=2798.5s
  step=11803776 | eps/s=  4181 | success= 30.0% | miss= 55.7% | elapsed=2823.2s
  step=11903808 | eps/s=  4181 | success= 30.1% | miss= 55.3% | elapsed=2847.2s
  step=12003840 | eps/s=  4181 | success= 31.0% | miss= 54.7% | elapsed=2871.1s
  step=12103872 | eps/s=  4180 | success= 31.8% | miss= 53.7% | elapsed=2895.4s
  step=12203904 | eps/s=  4180 | success= 32.6% | miss= 52.9% | elapsed=2919.4s
  step=12303936 | eps/s=  4181 | success= 32.8% | miss= 53.2% | elapsed=2943.2s
  step=12403968 | eps/s=  4177 | success= 33.3% | miss= 52.1% | elapsed=2969.7s
  step=12504000 | eps/s=  4177 | success= 33.3% | miss= 52.4% | elapsed=2993.8s
  step=12604032 | eps/s=  4177 | success= 34.8% | miss= 51.7% | elapsed=3017.6s
  step=12704064 | eps/s=  4176 | success= 36.7% | miss= 50.2% | elapsed=3042.1s
  step=12804096 | eps/s=  4176 | success= 36.9% | miss= 49.7% | elapsed=3066.1s
  step=12904128 | eps/s=  4176 | success= 36.9% | miss= 49.2% | elapsed=3090.1s
  step=13004160 | eps/s=  4176 | success= 38.2% | miss= 48.6% | elapsed=3114.2s
  step=13104192 | eps/s=  4175 | success= 39.2% | miss= 48.4% | elapsed=3138.6s
  step=13204224 | eps/s=  4175 | success= 40.9% | miss= 47.3% | elapsed=3162.4s
  step=13304256 | eps/s=  4172 | success= 40.3% | miss= 48.2% | elapsed=3189.1s
  step=13404288 | eps/s=  4171 | success= 41.0% | miss= 46.6% | elapsed=3213.3s
  step=13504320 | eps/s=  4172 | success= 41.8% | miss= 45.9% | elapsed=3237.3s
  step=13604352 | eps/s=  4171 | success= 42.3% | miss= 46.3% | elapsed=3261.3s
  step=13704384 | eps/s=  4170 | success= 43.4% | miss= 45.1% | elapsed=3286.1s
  step=13804416 | eps/s=  4166 | success= 43.7% | miss= 43.8% | elapsed=3313.2s
  step=13904448 | eps/s=  4166 | success= 44.3% | miss= 43.8% | elapsed=3337.8s
  step=14004480 | eps/s=  4164 | success= 45.0% | miss= 43.3% | elapsed=3363.2s
  step=14104512 | eps/s=  4161 | success= 45.8% | miss= 42.9% | elapsed=3389.8s
  step=14204544 | eps/s=  4154 | success= 44.7% | miss= 44.6% | elapsed=3419.8s
  step=14304576 | eps/s=  4148 | success= 46.1% | miss= 42.8% | elapsed=3448.7s
  step=14404608 | eps/s=  4146 | success= 47.7% | miss= 42.1% | elapsed=3474.4s
  step=14504640 | eps/s=  4145 | success= 47.9% | miss= 41.2% | elapsed=3499.2s
  step=14604672 | eps/s=  4145 | success= 47.5% | miss= 40.9% | elapsed=3523.7s
  step=14704704 | eps/s=  4145 | success= 47.9% | miss= 40.6% | elapsed=3547.9s
  step=14804736 | eps/s=  4144 | success= 48.7% | miss= 39.7% | elapsed=3572.4s
  step=14904768 | eps/s=  4143 | success= 49.8% | miss= 39.3% | elapsed=3597.3s
  step=15004800 | eps/s=  4142 | success= 50.4% | miss= 38.8% | elapsed=3622.7s
  step=15104832 | eps/s=  4140 | success= 51.3% | miss= 38.4% | elapsed=3648.3s
  step=15204864 | eps/s=  4137 | success= 50.9% | miss= 38.8% | elapsed=3675.2s
  step=15304896 | eps/s=  4137 | success= 51.8% | miss= 37.9% | elapsed=3699.1s
  step=15404928 | eps/s=  4138 | success= 53.0% | miss= 37.0% | elapsed=3723.1s
  step=15504960 | eps/s=  4138 | success= 53.9% | miss= 37.0% | elapsed=3747.4s
  step=15604992 | eps/s=  4138 | success= 54.8% | miss= 36.2% | elapsed=3771.5s
  step=15705024 | eps/s=  4138 | success= 54.4% | miss= 35.6% | elapsed=3795.6s
  step=15805056 | eps/s=  4138 | success= 54.6% | miss= 35.7% | elapsed=3819.8s
  step=15905088 | eps/s=  4138 | success= 55.5% | miss= 35.2% | elapsed=3843.9s
  step=16005120 | eps/s=  4138 | success= 56.2% | miss= 35.0% | elapsed=3867.8s
