[09:56:26] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[09:56:28] 
[09:56:28] === Stage 1: Kein Spin | 10M Steps | lr=3e-4 | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=10000000
  policy=MLP [512, 512]

  model params: 622,607

  step=  884224 | eps/s=  3980 | success=  0.1% | miss= 93.8% | elapsed=222.2s
  step=  894272 | eps/s=  3956 | success=  0.1% | miss= 93.9% | elapsed=226.0s
  step=  904320 | eps/s=  3938 | success=  0.1% | miss= 94.0% | elapsed=229.6s
  step=  914368 | eps/s=  3966 | success=  0.1% | miss= 94.2% | elapsed=230.6s
  step=  924416 | eps/s=  3948 | success=  0.1% | miss= 93.9% | elapsed=234.2s
  step=  934464 | eps/s=  3931 | success=  0.1% | miss= 94.0% | elapsed=237.7s
  step=  944512 | eps/s=  3958 | success=  0.1% | miss= 93.7% | elapsed=238.6s
  step=  954560 | eps/s=  3945 | success=  0.1% | miss= 93.5% | elapsed=242.0s
  step=  964608 | eps/s=  3972 | success=  0.1% | miss= 93.8% | elapsed=242.9s
  step=  974656 | eps/s=  3957 | success=  0.1% | miss= 93.6% | elapsed=246.3s
  step=  984704 | eps/s=  3944 | success=  0.2% | miss= 93.5% | elapsed=249.7s
  step=  994752 | eps/s=  3970 | success=  0.2% | miss= 93.0% | elapsed=250.5s
  step= 1004800 | eps/s=  3956 | success=  0.1% | miss= 93.7% | elapsed=254.0s
  step= 1014848 | eps/s=  3982 | success=  0.2% | miss= 93.5% | elapsed=254.9s
  step= 1024896 | eps/s=  3967 | success=  0.1% | miss= 93.1% | elapsed=258.4s
  step= 1034944 | eps/s=  3956 | success=  0.1% | miss= 93.1% | elapsed=261.6s
  step= 1044992 | eps/s=  3981 | success=  0.1% | miss= 93.4% | elapsed=262.5s
  step= 1055040 | eps/s=  3972 | success=  0.1% | miss= 93.0% | elapsed=265.6s
  step= 1065088 | eps/s=  3962 | success=  0.1% | miss= 93.3% | elapsed=268.8s
  step= 1075136 | eps/s=  3987 | success=  0.1% | miss= 92.8% | elapsed=269.7s
  step= 1085184 | eps/s=  3973 | success=  0.3% | miss= 93.4% | elapsed=273.1s
  step= 1095232 | eps/s=  3996 | success=  0.1% | miss= 92.9% | elapsed=274.1s
  step= 1105280 | eps/s=  3984 | success=  0.1% | miss= 92.5% | elapsed=277.4s
  step= 1115328 | eps/s=  3972 | success=  0.1% | miss= 92.7% | elapsed=280.8s
  step= 1125376 | eps/s=  3994 | success=  0.2% | miss= 92.2% | elapsed=281.7s
  step= 1135424 | eps/s=  3984 | success=  0.1% | miss= 93.1% | elapsed=285.0s
  step= 1145472 | eps/s=  4006 | success=  0.2% | miss= 92.9% | elapsed=285.9s
  step= 1155520 | eps/s=  3992 | success=  0.1% | miss= 92.3% | elapsed=289.5s
  step= 1165568 | eps/s=  3979 | success=  0.1% | miss= 92.6% | elapsed=292.9s
  step= 1175616 | eps/s=  4000 | success=  0.2% | miss= 92.1% | elapsed=293.9s
  step= 1185664 | eps/s=  3987 | success=  0.3% | miss= 92.1% | elapsed=297.4s
  step= 1195712 | eps/s=  4008 | success=  0.2% | miss= 92.4% | elapsed=298.4s
  step= 1205760 | eps/s=  3995 | success=  0.2% | miss= 92.2% | elapsed=301.8s
  step= 1215808 | eps/s=  3983 | success=  0.2% | miss= 92.0% | elapsed=305.3s
  step= 1225856 | eps/s=  4003 | success=  0.2% | miss= 92.7% | elapsed=306.2s
  step= 1235904 | eps/s=  3989 | success=  0.2% | miss= 91.8% | elapsed=309.8s
  step= 1245952 | eps/s=  3975 | success=  0.2% | miss= 91.8% | elapsed=313.4s
  step= 1256000 | eps/s=  3995 | success=  0.2% | miss= 92.2% | elapsed=314.4s
  step= 1266048 | eps/s=  3983 | success=  0.2% | miss= 91.9% | elapsed=317.8s
  step= 1276096 | eps/s=  4003 | success=  0.2% | miss= 92.1% | elapsed=318.8s
  step= 1286144 | eps/s=  3990 | success=  0.2% | miss= 91.4% | elapsed=322.3s
  step= 1296192 | eps/s=  3979 | success=  0.3% | miss= 91.9% | elapsed=325.7s
  step= 1306240 | eps/s=  3998 | success=  0.2% | miss= 91.7% | elapsed=326.7s
  step= 1316288 | eps/s=  3986 | success=  0.3% | miss= 91.9% | elapsed=330.2s
  step= 1326336 | eps/s=  4005 | success=  0.3% | miss= 91.6% | elapsed=331.1s
  step= 1336384 | eps/s=  3995 | success=  0.3% | miss= 91.3% | elapsed=334.5s
  step= 1346432 | eps/s=  3984 | success=  0.3% | miss= 91.1% | elapsed=337.9s
