[13:34:43] === Stage 2 von ckpt_13000000 | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage2_checkpoints/ckpt_13000000_steps
  model params: 622,607

  step=10403328 | eps/s=  4735 | success= 84.2% | miss=  2.0% | elapsed=2197.1s
  step=10503360 | eps/s=  4735 | success= 84.3% | miss=  1.9% | elapsed=2218.0s
  step=10603392 | eps/s=  4739 | success= 84.5% | miss=  1.9% | elapsed=2237.6s
  step=10703424 | eps/s=  4740 | success= 84.4% | miss=  2.0% | elapsed=2258.0s
  step=10803456 | eps/s=  4741 | success= 84.3% | miss=  1.9% | elapsed=2278.6s
  step=10903488 | eps/s=  4742 | success= 84.3% | miss=  1.9% | elapsed=2299.2s
  step=11003520 | eps/s=  4747 | success= 84.4% | miss=  1.8% | elapsed=2318.0s
  step=11103552 | eps/s=  4748 | success= 84.7% | miss=  1.9% | elapsed=2338.5s
  step=11203584 | eps/s=  4749 | success= 84.3% | miss=  2.0% | elapsed=2359.1s
  step=11303616 | eps/s=  4750 | success= 84.3% | miss=  1.9% | elapsed=2379.6s
  step=11403648 | eps/s=  4749 | success= 84.5% | miss=  1.9% | elapsed=2401.4s
  step=11503680 | eps/s=  4752 | success= 84.3% | miss=  1.9% | elapsed=2420.6s
  step=11603712 | eps/s=  4753 | success= 84.7% | miss=  1.8% | elapsed=2441.4s
  step=11703744 | eps/s=  4754 | success= 84.3% | miss=  1.8% | elapsed=2462.0s
  step=11803776 | eps/s=  4757 | success= 84.6% | miss=  2.0% | elapsed=2481.5s
  step=11903808 | eps/s=  4759 | success= 84.7% | miss=  1.9% | elapsed=2501.5s
  step=12003840 | eps/s=  4763 | success= 84.6% | miss=  1.9% | elapsed=2520.1s
  step=12103872 | eps/s=  4764 | success= 85.0% | miss=  1.8% | elapsed=2540.8s
  step=12203904 | eps/s=  4766 | success= 84.5% | miss=  1.9% | elapsed=2560.8s
  step=12303936 | eps/s=  4767 | success= 84.9% | miss=  1.9% | elapsed=2581.0s
  step=12403968 | eps/s=  4767 | success= 84.7% | miss=  1.8% | elapsed=2601.9s
  step=12504000 | eps/s=  4768 | success= 84.6% | miss=  1.8% | elapsed=2622.3s
  step=12604032 | eps/s=  4769 | success= 85.1% | miss=  1.8% | elapsed=2642.7s
  step=12704064 | eps/s=  4772 | success= 84.9% | miss=  1.8% | elapsed=2662.3s
  step=12804096 | eps/s=  4774 | success= 85.0% | miss=  1.8% | elapsed=2682.0s
  step=12904128 | eps/s=  4776 | success= 85.0% | miss=  1.9% | elapsed=2702.1s
  step=13004160 | eps/s=  4777 | success= 84.9% | miss=  1.8% | elapsed=2722.0s
  step=13104192 | eps/s=  4778 | success= 84.9% | miss=  1.8% | elapsed=2742.6s
  step=13204224 | eps/s=  4780 | success= 84.7% | miss=  1.9% | elapsed=2762.6s
  step=13304256 | eps/s=  4778 | success= 84.8% | miss=  1.8% | elapsed=2784.8s
  step=13404288 | eps/s=  4779 | success= 85.0% | miss=  1.8% | elapsed=2804.8s
  step=13504320 | eps/s=  4781 | success= 85.0% | miss=  1.9% | elapsed=2824.8s
  step=13604352 | eps/s=  4781 | success= 84.9% | miss=  1.7% | elapsed=2845.4s
  step=13704384 | eps/s=  4781 | success= 84.8% | miss=  1.8% | elapsed=2866.2s
  step=13804416 | eps/s=  4782 | success= 85.2% | miss=  1.7% | elapsed=2886.5s
  step=13904448 | eps/s=  4783 | success= 85.1% | miss=  1.7% | elapsed=2907.0s
  step=14004480 | eps/s=  4784 | success= 85.3% | miss=  1.7% | elapsed=2927.6s
  step=14104512 | eps/s=  4784 | success= 85.4% | miss=  1.8% | elapsed=2948.2s
  step=14204544 | eps/s=  4786 | success= 85.3% | miss=  1.7% | elapsed=2968.0s
  step=14304576 | eps/s=  4784 | success= 85.1% | miss=  1.7% | elapsed=2990.1s
  step=14404608 | eps/s=  4784 | success= 85.5% | miss=  1.7% | elapsed=3010.9s
  step=14504640 | eps/s=  4785 | success= 85.3% | miss=  1.7% | elapsed=3031.0s
  step=14604672 | eps/s=  4786 | success= 85.2% | miss=  1.7% | elapsed=3051.8s
  step=14704704 | eps/s=  4786 | success= 85.2% | miss=  1.7% | elapsed=3072.5s
  step=14804736 | eps/s=  4787 | success= 85.3% | miss=  1.6% | elapsed=3092.5s
  step=14904768 | eps/s=  4788 | success= 85.5% | miss=  1.7% | elapsed=3113.2s
  step=15004800 | eps/s=  4788 | success= 85.6% | miss=  1.7% | elapsed=3133.9s
  step=15104832 | eps/s=  4788 | success= 85.4% | miss=  1.6% | elapsed=3154.5s
  step=15204864 | eps/s=  4789 | success= 85.4% | miss=  1.6% | elapsed=3175.1s
  step=15304896 | eps/s=  4789 | success= 85.6% | miss=  1.7% | elapsed=3195.8s
  step=15404928 | eps/s=  4791 | success= 85.4% | miss=  1.6% | elapsed=3215.7s
  step=15504960 | eps/s=  4791 | success= 85.4% | miss=  1.7% | elapsed=3236.1s
  step=15604992 | eps/s=  4791 | success= 85.7% | miss=  1.6% | elapsed=3257.4s
  step=15705024 | eps/s=  4791 | success= 85.6% | miss=  1.7% | elapsed=3278.1s
  step=15805056 | eps/s=  4791 | success= 85.7% | miss=  1.6% | elapsed=3298.8s
  step=15905088 | eps/s=  4791 | success= 85.8% | miss=  1.6% | elapsed=3319.6s
